"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"14752";"Caen";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"14754";"Dives-sur-Mer";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"14762";"Vire Normandie";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"15014";"Aurillac";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"15094";"Aurillac";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"15096";"Aurillac";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"15120";"Mauriac";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"15168";"Saint-Flour";"Commune simple";"212";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"15187";"Saint-Flour";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"15196";"Aurillac";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"16015";"Angoulême";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"16028";"Barbezieux-Saint-Hilaire";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"16102";"Cognac";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"16106";"Confolens";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"16163";"Angoulême";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"16211";"Angoulême";"Commune simple";"112";"2009";"NA";"disparition";"couronne";"disparition couronne";"non"
"16226";"Angoulême";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"16281";"Angoulême";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"16292";"Ruffec";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"16408";"Angoulême";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17003";"La Rochelle";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17094";"La Rochelle";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"17127";"La Rochelle";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17194";"La Rochelle";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17197";"Jonzac";"Sous-pr<e9>fecture";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17200";"La Rochelle";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"17218";"La Rochelle";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17219";"Marennes-Hiers-Brouage";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17267";"La Rochelle";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17274";"La Rochelle";"Commune simple";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"non"
"17283";"Pons";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17299";"Rochefort";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"17306";"Royan";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"17308";"Rochefort";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"17309";"La Roche-Chalais - Saint-Aigulin";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17347";"Saint-Jean-d'Angély";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"17369";"La Flotte";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
