"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"743",2922,2886,2930,2992,3126,3125,2920,2950,2638,"Dormans","petite
(< 30.000 hab.)",0.414083398496801,-0.377559511859982,-0.695557624849064,-0.623933569805579
"744",3053,2986,2920,2954,2622,2639,2630,2523,2412,"Culoz","petite
(< 30.000 hab.)",0.742409449136683,0.560341141861365,-0.385142012606188,1.71776969439348
"745",3976,3883,3814,3703,3589,3587,3368,2835,2443,"La Gacilly","petite
(< 30.000 hab.)",0.792061610274009,0.449244681116134,0.989369053333489,0.447709089608384
"746",2695,2775,2871,2930,3063,3334,3405,3352,3054,"Bessé-sur-Braye","petite
(< 30.000 hab.)",-0.970346223881813,-0.84663701915948,-0.675773706547378,-0.632170552225209
"747",2817,2843,2965,2818,2717,2484,2524,2533,2299,"Feuquières","petite
(< 30.000 hab.)",-0.305776341447261,-1.04493224549415,1.70943371504599,0.522777208100322
"748",2611,2792,2809,2850,2917,2905,3139,3247,3343,"Le Nouvion-en-Thiérache","petite
(< 30.000 hab.)",-2.20939057706043,-0.151643984687033,-0.481850230999981,-0.331402454447882
"749",2493,2689,2803,2877,3003,3104,3253,3143,3148,"Aumale","petite
(< 30.000 hab.)",-2.49119693837354,-1.03265351288242,-0.864832368986079,-0.610467662564851
"750",2845,2916,2837,2721,2595,2542,2653,2664,2444,"Candé","petite
(< 30.000 hab.)",-0.818291834162233,0.689004245314861,1.4013175500895,0.679626812006728
"751",2371,2451,2412,2468,2649,2640,2632,2684,2720,"Bellême","petite
(< 30.000 hab.)",-1.10004797916181,0.401800705280375,-0.76214176413909,-1.00596461659214
"752",2829,2796,2772,2774,2715,2520,2433,2428,2107,"Saint-Julien-du-Sault","petite
(< 30.000 hab.)",0.391881453452414,0.215750984311858,-0.0240384624646151,0.307591645361782
"753",2592,2683,2814,2759,2894,2837,2825,2511,2400,"Gorron","petite
(< 30.000 hab.)",-1.14360366556069,-1.18471105626491,0.660124730456157,-0.680124228488177
"754",2706,2748,2752,2758,2957,3003,3211,3091,2786,"Sillé-le-Guillaume","petite
(< 30.000 hab.)",-0.512079201578075,-0.0363570320036088,-0.0725689659804796,-0.990341520594851
"755",4779,4666,4429,4252,3825,3945,3899,3742,3475,"Saint-Brice-en-Coglès","petite
(< 30.000 hab.)",0.80082780825399,1.311737490218,1.36876174742393,1.52335792053702
"756",2992,2935,2669,2635,2400,2200,2370,1638,1978,"Cruas","petite
(< 30.000 hab.)",0.643213350301042,2.40351945602317,0.428270750139559,1.34343615341226
"757",2908,2797,2726,2645,2612,2418,2201,1981,1676,"Meslay-du-Maine","petite
(< 30.000 hab.)",1.30572258687545,0.644872429671617,1.01054748932257,0.179515993040269
