"";"ID_AU2010";"TYPEQU";"NB_2013";"NB_2018";"LIB_MOD";"population";"LIBAU2010";"TAU2016";"NB_COM";"densite_2013";"densite_2018";"NB_2013_2";"TCAM";"TAU2016_group";"TAU2016_Insee";"reordonner"
"131";"425";"A208";1;0;"Agence postale communale";8110;"LonguÈ-Jumelles";"01";2;1,23304562268804;0;1;-100;"petite";"1: < 15.000";"a"
"132";"430";"A206";3;2;"Bureau de poste";8021;"Carnac";"01";3;3,74018202219175;2,49345468146116;3;-7,78920885182722;"petite";"1: < 15.000";"a"
"133";"431";"A206";2;1;"Bureau de poste";7819;"Vaison-la-Romaine";"01";4;2,55787185062028;1,27893592531014;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"134";"442";"A206";2;1;"Bureau de poste";7676;"Hauts de Bienne";"01";2;2,60552371026576;1,30276185513288;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"135";"443";"A206";2;1;"Bureau de poste";7773;"Marseillan";"01";1;2,57300913418243;1,28650456709121;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"136";"444";"A207";2;1;"Relais poste commer√ßant";8108;"CondÈ-en-Normandie";"01";2;2,46669955599408;1,23334977799704;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"137";"446";"A206";2;1;"Bureau de poste";6653;"Revin";"01";2;3,00616263339847;1,50308131669923;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"138";"447";"A208";1;0;"Agence postale communale";7539;"Crozon";"01";1;1,32643586682584;0;1;-100;"petite";"1: < 15.000";"a"
"139";"458";"A206";2;1;"Bureau de poste";8089;"Lesparre-MÈdoc";"01";2;2,47249350970454;1,23624675485227;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"140";"466";"A208";2;1;"Agence postale communale";8370;"Agon-Coutainville";"01";4;2,389486260454;1,194743130227;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"141";"468";"A206";4;1;"Bureau de poste";6933;"ArgelËs-Gazost";"01";13;5,76950814943026;1,44237703735757;4;-24,2141716744801;"petite";"1: < 15.000";"a"
"142";"470";"A206";2;1;"Bureau de poste";6953;"…gletons";"01";7;2,87645620595426;1,43822810297713;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"143";"474";"A207";1;0;"Relais poste commer√ßant";6895;"Saint-ChÈly-d'Apcher";"01";8;1,45032632342277;0;1;-100;"petite";"1: < 15.000";"a"
"144";"481";"A206";2;1;"Bureau de poste";7301;"BoÎn";"01";6;2,73935077386659;1,3696753869333;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"145";"486";"A206";2;1;"Bureau de poste";6773;"Guer";"01";2;2,95290122545401;1,476450612727;2;-12,9449436703876;"petite";"1: < 15.000";"a"
"146";"496";"A206";3;2;"Bureau de poste";23146;"BeauprÈau-en-Mauges";"03";1;1,29612027996198;0,86408018664132;3;-7,78920885182722;"petite";"3: 20.000-25.000";"a"
"147";"496";"A208";4;3;"Agence postale communale";23146;"BeauprÈau-en-Mauges";"03";1;1,72816037328264;1,29612027996198;4;-5,5912488705098;"petite";"3: 20.000-25.000";"a"
"148";"504";"A207";1;0;"Relais poste commer√ßant";5884;"Sainte-Menehould";"01";8;1,69952413324269;0;1;-100;"petite";"1: < 15.000";"a"
